content,dept
"""중소기업 공동사업계획 (변경)승인 관련하여 미처리된 점이 있어 신속한 처리 부탁드립니다.""",신성장전략국 일자리정책과
저는 중소기업 공동사업계획 변경에 관한 민원을 신청합니다.,신성장전략국 일자리정책과
저는 주민등록상의 문제로 인해 이의신청을 하려고 합니다. 주민등록부 등재되어 있는 사항과 실제 정보가 상이하여 수정해 주시기를 요청합니다. 필요한 서류나 절차에 따라 즉시 대응하겠습니다. 부디 당부드립니다.,읍/면/동사무소
"""주민등록이의신청을 하려고 합니다. 어떻게 진행해야 하나요?""",읍/면/동사무소
"""인삼류 제조업을 영위하기 위해 신고가 필요한데, 어떤 절차를 거쳐서 신고할 수 있는지 안내해주시기 바랍니다.""",신성장전략국 민생경제과
인삼류를 제조하기 위해 필요한 식품 제조업 신고와 같은 관련 신청을 완료하고 싶습니다. 신고 관련 정보 제공 및 절차 안내 부탁드립니다.,신성장전략국 민생경제과
가정폭력 상담원 교육훈련시설에서의 신고사항 처리를 요청합니다.,복지환경국 여성아동과
가정폭력 상담원 교육훈련시설이 주변 주거지역에 미치는 소음 및 주차로 인한 불편과 이로 인한 주민 간 갈등이 심각하여 조속한 해결이 필요하다는 신고입니다.,복지환경국 여성아동과
수산물가공업등록사항변경에 대한 처리 상황을 문의드립니다. 처리 가능한 일정과 관련된 정보를 알고 싶습니다. 감사합니다.,신성장전략국 민생경제과
제가 수산물가공업등록사항을 변경하고자 하여 민원을 접수하고 싶습니다. 관련 신청서류 역시 준비 완료되어 있습니다. 신속하게 처리 부탁드립니다.,신성장전략국 민생경제과
신청자는 담배도매업 등록을 위해 관련 서류를 제출하고자 합니다. 이에 따라 적극적으로 처리 부탁드립니다. 감사합니다.,신성장전략국 일자리정책과
'담배도매업 등록' 관련하여 민원을 신청합니다.,신성장전략국 일자리정책과
"저희 회사는 내수면어업 허가 신청서를 작성하여 제출하였지만, 아직 결과가 나오지 않아 문의드립니다. 신속한 처리 부탁드립니다.",신성장전략국 민생경제과
내수면어업허가를 신청합니다.,신성장전략국 민생경제과
"공유재산대부계약 갱신과 관련하여, 해당 계약의 갱신 가능 여부와 갱신 시기에 대한 안내가 필요합니다. 관련 정보를 알려주시면 감사하겠습니다.",행정국 재무과
공유재산대부계약 갱신 관련하여 신청합니다. 갱신이 가능한 지 안내 부탁드립니다. 감사합니다.,행정국 재무과
제가 거주하는 지역에서 재개발사업시행 인가에 관한 민원신청을 하고자 합니다. 인근 건물들의 노후화로 인해 안전상의 우려가 있어 적극적인 재개발이 필요합니다. 이에 대한 빠른 처리 부탁드립니다.,신성장전략국 민생경제과
"저는 재개발사업을 진행하려고 하는데, 그에 따른 관련 민원 신청을 하고자 합니다.",신성장전략국 민생경제과
화물자동차 운송사업을 하기 위해 필요한 허가사항에 대해 신청하고자 합니다. 어떤 서류를 제출해야 하는지와 제출 방법 등 자세한 정보를 안내해주시면 감사하겠습니다.,행정국 민원여권과
화물자동차 운송사업 허가사항신고에 해당하는 민원신청을 하고자 합니다.,행정국 민원여권과
"안녕하세요, 정신재활시설 관련해서 신고사항 변경을 희망하는 진술이 필요합니다. 신고내용은 기존 설치정보에 대한 변경사항으로, 처리가 가능한지 확인 후 안내 부탁드립니다. 감사합니다.",보건소 건강증진과
"정신재활시설을 설치신고하거나, 신고사항을 변경하려면 정신보건법에 따라 관할 지자체 보건환경과에 신청하여야 합니다. 신청서 및 필요서류를 준비하고, 지자체 보건환경과에 방문하시어 신청 및 변경 절차를 따라주시면 됩니다.",보건소 건강증진과
고압가스용기(냉동기·특정설비)변경등록 관련 민원 신청합니다. 처리 부탁드립니다.,신성장전략국 일자리정책과
고압가스용기(냉동기·특정설비) 변경 등록 관련하여 민원신청합니다.,신성장전략국 일자리정책과
도로와 다른 시설의 연결허가 건에 대한 처리를 요청드립니다.,도시국 건설과
도로와 다른 시설을 연결하는데 필요한 연결허가에 대한 민원신청을 합니다. 연결허가가 승인되면 연결공사를 진행할 것입니다.,도시국 건설과
장애인유료복지시설 이용비용 수납신고 처리를 요청합니다.,도시국 건설과
장애인유료복지시설 이용비용 수납신고 관련하여 민원신청합니다.,도시국 건설과
"안녕하세요, 복합물류터미널사업의 휴업, 폐업, 합병 외의 사유에 따른 해산 신고 관련하여 민원신청을 합니다. 관련 절차와 처리상황에 대해 안내 부탁드립니다. 감사합니다.",도시국 교통과
이에 따라 복합물류터미널사업의 휴업·폐업(합병 외의 사유에 따른 해산)신고 관련하여 해당 절차를 거쳤음을 안내드립니다.,도시국 교통과
산지전용허가 변경신고와 관련하여 처리 가능한 신청서를 작성해주세요. 감사합니다.,문화녹지국 공원녹지과
산지전용허가 변경신고 관련해서 민원을 신청합니다.,문화녹지국 공원녹지과
"""비료 수입업신고 관련하여 처리 상황에 대해 안내 부탁드립니다.""",신성장전략국 민생경제과
저는 비료수입업 신고에 관련한 민원신청을 합니다. 간편한 방법으로 신고를 완료할 수 있는 안내와 서비스를 제공해 주시기를 바랍니다. 감사합니다.,신성장전략국 민생경제과
삼촌의 산후조리업 업종 변경으로 인한 필요한 신고서류를 작성하여 제출하고자 합니다. 처리 가능한 방법에 대한 안내 부탁드립니다. 감사합니다.,보건소 보건과
산후조리업 변경 신고 관련하여 신청합니다.,보건소 보건과
저는 현재 동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고에 관한 민원을 제출하고자 합니다. 해당 신고 처리에는 신성장전략국 민생경제과에서 처리 가능한 경우가 있을 것으로 예상됩니다.,신성장전략국 민생경제과
"안녕하세요. 동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고 관련, 우리 업체에서 필요한 절차를 모두 완료하여 신고 결과를 안내받고자 합니다. 부가세 신고서 및 제조/판매 등록증의 수정 완료 및 제출을 위해 필요한 사항들은 모두 준비된 상태이며, 추가적으로 필요한 서류나 사항이 있을 시에는 즉시 제공하겠습니다. 감사합니다.",신성장전략국 민생경제과
건축물 대수선 신고 관련하여 처리 부탁드립니다.,도시국 건축주택과
건축물 대수선 신고를 하려고 합니다. 필요한 서류와 절차를 안내 부탁드립니다.,도시국 건축주택과
산림경영계획 산림사업 신고와 관련하여 처리 가능한 민원신청입니다. 처리 방법과 절차에 대해 자세히 안내 부탁드립니다. 감사합니다.,문화녹지국 공원녹지과
산림경영계획 산림사업 신고 관련하여 신청합니다.,문화녹지국 공원녹지과
산림경영계획(변경) 인가 처리를 위해 신청합니다. 처리 관련 안내 부탁드립니다. 감사합니다.,문화녹지국 공원녹지과
산림경영계획(변경) 인가 관련하여 민원을 제출합니다. 산림경영계획의 변경사항에 대한 인가 여부를 확인 부탁드립니다. 감사합니다.,문화녹지국 공원녹지과
가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고와 관련하여 처리해야 할 민원신청이 있습니다. 처리해 주시길 바랍니다. 감사합니다.,신성장전략국 민생경제과
가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고에 대한 민원 신청을 합니다.,신성장전략국 민생경제과
가스용품 제조사업 관련하여 허가 또는 변경허가를 신청하고자 합니다. 처리 가능한 절차 및 필요한 서류에 대한 안내 부탁드립니다.,복지국 경제진흥과
가스용품 제조사업(허가 · 변경허가) 신청에 관한 민원 신청을 합니다.,복지국 경제진흥과
노동조합 설립(설립신고사항 변경)신고 처리 관련하여 적극적인 업무 처리 부탁드립니다.,복지국 경제진흥과
노동조합 설립신고의 변경사항으로 인해 민원신청을 합니다. 필요한 서류 및 절차가 있는 경우 안내 부탁드립니다. 감사합니다.,복지국 경제진흥과
지하수개발·이용 시공업의 양도·양수 신고에 관한 민원을 접수하였습니다. 처리 부탁드립니다.,복지환경국 환경관리과
'지하수개발·이용 시공업 양도·양수 신고'를 위해 신청드립니다. 감사합니다.,복지환경국 환경관리과
"가축인공수정사 면허 관련하여 제출한 신청서가 처리되지 않았습니다. 처리 과정에서 문제가 발생한 것으로 추정되며, 가능한 빠른 시일 내에 처리해 주시기 바랍니다. 감사합니다.",복지국 경제진흥과
"가축인공수정사면허 관련 민원으로, 저는 해당 자격증 발급을 신청합니다. 감사합니다.",복지국 경제진흥과
"산지복구설계서 승인 관련하여 민원 신청합니다. 처리 가능한 경우, 신속한 처리 부탁드립니다. 감사합니다.",도시국 도시경관과
산지복구설계서 승인신청을 위한 민원을 제출합니다.,도시국 도시경관과
"국유재산 사용에 관한 문의드립니다. 국유재산 사용수익허가, 대부, 매수에 대한 절차와 필요한 서류, 기타 상세 내용에 대해 안내 부탁드립니다. 감사합니다.",복지국 경제진흥과
"국유재산 사용수익허가, 대부, 매수와 관련된 민원신청을 합니다. 처리 부탁드립니다.",복지국 경제진흥과
도로점용허가 (굴착) 처리를 위한 민원 신청합니다.,도시국 도시경관과
"저는 도로점용허가를 받으려고 합니다. 굴착 작업을 계획 중이며, 해당 지역의 도로점용허가를 받아야 작업을 진행할 수 있습니다. 신속한 처리 부탁드립니다.",도시국 도시경관과
'상인회 등록'에 관련된 민원신청을 합니다. 처리 가능한지 확인 부탁드립니다.  감사합니다.,복지국 경제진흥과
저는 상인입니다. 상인회 회원으로 등록하기 위해 해당 신청서를 작성하고 승인받고자 합니다. 어떤 절차를 따라야 합니까?,복지국 경제진흥과
농지전용 신고(변경신고) 관련하여 처리 상황을 문의드립니다. 처리 예상일과 추가 필요 서류가 있을 경우 알려주시기 바랍니다. 감사합니다.,신성장전략국 민생경제과
저는 농지전용 신고(변경신고) 관련하여 민원 신청을 하고자 합니다. 가능한 빠른 조치 부탁드립니다. 감사합니다.,신성장전략국 민생경제과
"""청소년수련시설의 폐지를 신청합니다. 해당 시설이 사용되지 않고 방치되어있는 것으로 확인되어 안전상 문제가 우려됩니다. 빠른 조치 부탁드립니다.""",문화녹지국 교육청소년과
청소년수련시설의 폐지에 동의합니다. 이에 따라 더 이상 청소년수련시설을 사용하지 않을 것입니다.,문화녹지국 교육청소년과
"장애인복지시설의 운영 중단, 재개 또는 폐지에 대한 신고를 하고자 합니다. 처리해 주시기 바랍니다. 감사합니다.",복지환경국 희망복지과
"장애인복지시설 운영 중단, 재개, 폐지 관련하여 신고합니다. 관련 처리 부탁드립니다.",복지환경국 희망복지과
비산먼지시설기준 변경신청에 대한 민원신청입니다. 처리 가능하신 국가 기관으로 연결 부탁드립니다. 감사합니다.,행정국 민원여권과
비산먼지시설기준 변경신청 관련하여 민원을 신청합니다.,행정국 민원여권과
소음·진동 관련 특정 공사 진행으로 인해 생활에 불편을 겪고 있습니다. 관련 사항에 대한 사전 신고 및 조치를 부탁드립니다.,행정국 민원여권과
저는 지역내에서 발생하는 소음·진동과 관련된 특정공사 사전신고에 대한 불편함을 느끼고 있습니다. 그래서 이에 대한 처리를 요청드립니다.,행정국 민원여권과
"제가 신청하고 싶은 민원은 '임대 조건 신고' 관련 사항입니다. 이에 따라 해당 건물의 임대 조건이 변경되었으므로, 이에 대한 신고 절차를 처리해주시기 바랍니다. 감사합니다.",도시국 건설과
저는 임대 조건 신고와 관련된 민원을 신청합니다.,도시국 건설과
'골재채취업등록'과 관련해 민원신청합니다. 처리 가능한지 확인 부탁드립니다.,행정국 민원여권과
골재채취업 등록을 위한 민원신청을 하고자 합니다.,행정국 민원여권과
지방세 환급금 양도신청 관련하여 처리 가능한 민원 신청을 제출합니다.,도시국 건설과
지방세 환급금 양도신청을 위한 필요 서류 및 절차를 안내해주세요.,도시국 건설과
무료직업소개사업신고와 관련하여 처리해주시면 감사하겠습니다.,복지국 경제진흥과
제가 무료직업소개사업 신고를 하고자 합니다. 신청 관련서류는 모두 준비하였습니다. 처리 상황에 대해서는 따로 안내 부탁드립니다. 감사합니다.,복지국 경제진흥과
창업사업계획 (변경)승인과 관련하여 민원을 신청합니다. 처리 결과에 대한 안내 부탁드립니다. 감사합니다.,복지국 경제진흥과
창업사업계획 (변경)승인과 관련된 민원신청을 합니다. 처리 가능 여부 및 절차 안내 부탁드립니다. 감사합니다.,복지국 경제진흥과
가정폭력피해자 보호시설 인가를 신청합니다. 처리 부탁드립니다.,복지환경국 여성아동과
가정폭력피해자 보호시설 인가를 받기 위해 민원을 신청합니다.,복지환경국 여성아동과
"임대사업자 등록신청(개인, 법인) 관련하여 처리해주시기 바랍니다.",도시국 건설과
저는 임대사업자 등록신청을 하려고 합니다. 개인 또는 법인으로 신청 가능한지 확인 부탁드립니다. 감사합니다.,도시국 건설과
제공된 공유수면점을 사용하기 위해 협의 또는 승인을 받고 싶습니다. 처리 부탁드립니다.,도시국 건설과
'공유수면점 사용 협의 또는 승인'에 대한 관련 민원신청을 하고자 합니다.,도시국 건설과
담배판매업(수입판매업·도매업) 등록변경 관련하여 처리 요청드립니다. 감사합니다.,주민생활지원국 경제통상과
담배판매업(수입판매업·도매업) 등록변경을 위한 민원을 제출합니다.,주민생활지원국 경제통상과
사회복지시설 설치·운영 신고에 관한 신청서를 제출하려 합니다. 처리 부탁드립니다.,주민생활지원국 주민복지과
제가 사회복지시설 설치·운영 신고 관련 민원 신청을 하고 싶습니다. 감사합니다.,주민생활지원국 주민복지과
"`토지(임야) 이동 신청 관련하여 필요한 절차가 있어, 처리를 부탁드립니다.`",도시국 교통과
토지(임야)이동신청을 하고자 합니다. 가능한 빠른 처리 부탁드립니다.,도시국 교통과
산지복구준공검사 신청합니다. 처리해주시길 바랍니다.,도시국 도시관리과
산지복구준공검사 신청하고 싶습니다.,도시국 도시관리과
장애인복지시설 설치와 운영신고에 대해 민원을 신청합니다. 처리 부탁드립니다.,주민생활지원국 주민생활지원과
장애인복지시설 설치나 운영 관련 문제로 인해 불편함을 겪고 있어 이에 대한 신고를 하고 싶습니다. 신청 내용은 '장애인복지시설 설치·운영신고'입니다. 감사합니다.,주민생활지원국 주민생활지원과
"동물약국을 개설하고자 합니다. 이에 대한 등록 절차와 필요한 서류, 절차에 따른 예상 소요 시간 등에 대해 안내 부탁드립니다. 감사합니다.",주민생활지원국 경제통상과
동물약국 개설등록을 위해 필요한 서류와 절차를 확인하고자 합니다. 빠른 처리 부탁드립니다.,주민생활지원국 경제통상과
노인주거복지시설 설치신고를 처리해주시기 바랍니다. 감사합니다.,주민생활지원국 주민복지과
노인주거복지시설을 설치하고자 하는 것에 관련한 민원신청을 하려 합니다. 필요한 절차와 서류 등을 안내해주시면 감사하겠습니다.,주민생활지원국 주민복지과
사업계획 변경 승인(외국투자가) 처리를 위해 민원을 제출합니다. 처리에 필요한 문서는 모두 제출했습니다. 신속한 처리 부탁드립니다. 감사합니다.,주민생활지원국 경제통상과
'사업계획 (변경)승인(외국투자가)'에 대한 관련 민원신청 결과를 알고자 합니다.,주민생활지원국 경제통상과
공연장 등록 변경을 위한 민원신청합니다. 변경할 공연장 정보와 관련된 자세한 내용은 신청서와 함께 제출하겠습니다. 감사합니다.,총무국 문화교육과
'공연장 (변경)등록'을 신청하고자 합니다. 관련 절차와 필요 서류 등을 안내해주시면 감사하겠습니다.,총무국 문화교육과
"사업장폐기물배출자 신고(변경신고)에 대한 민원신청을 합니다. 처리 가능한 운영기구가 있는지 확인하고, 해당 기구를 통해 처리해주시길 요청합니다. 감사합니다.",주민생활지원국 환경관리과
"저는 사업장폐기물배출자로서, 공동처리 운영기구에 대한 신고(변경신고)를 하고자 합니다. 필요한 서류와 절차에 대해 안내 부탁드립니다. 감사합니다.",주민생활지원국 환경관리과
"저희는 A주 소재의 B도로에서 C공사를 진행하고 있습니다. 이에 따라 D공작물을 설치하고자 하며, 도로점용허가가 필요하여 민원신청을 하게 되었습니다. 저희가 필요한 절차와 서류를 알려주시면 감사하겠습니다.",도시국 건축주택과
도로점용허가 (공작물설치) 관련하여 민원신청합니다.,도시국 건축주택과
"지방세 납부기한 연장 신청에 관한 민원을 제출합니다. 코로나19로 인해 경영상황이 어려워졌으며, 지방세 납부에 어려움을 겪고 있습니다. 따라서, 연장된 기한 내에 납부를 진행할 수 있도록 연장을 부탁드립니다. 감사합니다.",안전행정국 세무2과
지방세 납부기한 연장을 신청합니다.,안전행정국 세무2과
시장정비사업추진계획 승인추천과 관련하여 해당 사업이 정식으로 추진될 수 있도록 조속한 처리를 요청합니다. 감사합니다.,주민생활지원국 경제통상과
"시장정비사업추진계획 승인추천과 관련하여, 신청합니다.",주민생활지원국 경제통상과
폐기물처분시설 또는 재활용시설 설치(변경)승인을 요청합니다. 필요한 서류와 절차에 따라 지속적으로 협조하겠습니다. 감사합니다.,주민생활지원국 환경관리과
'폐기물처분시설 또는 재활용시설 설치 (변경)승인 신청'을 위해 민원을 제출합니다. 각종 서류를 준비하였으니 검토 부탁드립니다. 감사합니다.,주민생활지원국 환경관리과
지하수 관련 토지 출입(사용)을 위한 신청서를 제출하려고 합니다. 관련 서류 및 절차에 대한 안내 부탁드립니다. 감사합니다.,주민생활지원국 환경관리과
지하수관련 토지 출입(사용)허가를 신청합니다.,주민생활지원국 환경관리과
기본재산처분허가 관련하여 사회복지법인에서 처리할 수 있는 민원신청을 하고자 합니다. 처리 가능 여부와 필요한 서류 및 절차 등 자세한 안내 부탁드립니다. 감사합니다.,주민생활지원국 주민복지과
사회복지법인 기본재산의 처분을 위해 허가를 신청합니다.,주민생활지원국 주민복지과
지하수개발 및 이용 변경허가에 대한 민원신청합니다. 처리 부탁드립니다. 감사합니다.,주민생활지원국 환경관리과
"'지하수개발·이용 변경허가'에 대한 민원신청을 하고자 합니다. 도시 내 건축물을 위해 지하수개발이 필요하며, 이에 따른 변경허가를 신청하고자 합니다. 필요한 서류나 절차 등 자세한 안내 부탁드립니다. 감사합니다.",주민생활지원국 환경관리과
"처리시설설계 및 시공과 관련하여, 등록신청서, 변경등록신청서, 변경신고서 처리를 요청합니다.",주민생활지원국 환경관리과
"처리시설설계·시공업에서 등록신청서, 변경등록신청서, 변경신고서를 제출하고자 합니다.",주민생활지원국 환경관리과
새마을금고 설립·합병 등 인가와 관련된 민원신청을 하려 합니다. 처리 부탁드립니다.,안전행정국 총무과
"새마을금고 설립·합병 등 인가에 대한 민원 신청을 하고자 합니다. 필요한 절차와 서류, 제출 방법 등 자세한 안내 부탁드립니다.",안전행정국 총무과
국내 위생 관련 업무를 처리하기 위해 해당 업종의 위생처리업체는 반드시 신고를 해야 합니다. 제가 일하는 업체에서 위생처리업신고를 하기 위해 필요한 절차와 제출해야 할 자료를 안내받을 수 있을까요? 감사합니다.,보건소 위생과
'위생처리업신고' 관련하여 신청합니다.,보건소 위생과
아동복지시설 휴지·폐지·재개 신고 사항에 대해 민원신청합니다. 처리 부탁드립니다.,주민생활지원국 주민복지과
아동복지시설의 휴지·폐지·재개 관련하여 민원신청합니다.,주민생활지원국 주민복지과
"""진단용 방사선 발생장치를 사용 중지했으며, 이를 폐기하기로 결정하였습니다. 관련하여 처리가 필요한 사항이 있으므로, 신고 드립니다.""",주민생활지원국 경제통상과
"진단용방사선발생장치 사용중지, 양도, 이전, 폐기 신고를 위해 관련 신청서와 필요한 서류를 제출했습니다. 처리가 완료되기 전까지 관련 부서에서 신속하게 처리해주시길 부탁드립니다. 감사합니다.",주민생활지원국 경제통상과
방사선 관계 종사자 변동 및 안전관리책임자 선임해임겸임 신고에 대해 처리해주실 수 있나요? 간단한 민원신청드립니다.,주민생활지원국 경제통상과
방사선 관계 종사자의 변동 및 안전관리책임자 선임해임겸임 신고에 대한 민원을 제출합니다.,주민생활지원국 경제통상과
"동물병원 개설신고(법인) 처리 관련하여 문의드립니다. 처리 중인 신청서 상태를 확인하고, 혹시 필요한 추가 서류나 절차가 있다면 안내 부탁드립니다. 감사합니다.",주민생활지원국 경제통상과
"제가 동물병원을 개설하기 위해 법인으로 신고를 하고자 합니다. 동물 병원 운영에 필요한 모든 절차와 요건을 갖추고, 신속하게 신고 및 승인 절차를 진행할 것입니다. 끝까지 책임있게 운영하여 동물들의 건강을 보호하겠습니다. 감사합니다.",주민생활지원국 경제통상과
