content,dept
토지(임야)이동신청,자치행정국 종합민원과
사회복지시설 휴지·재개·폐지 신고,주민복지국 사회복지과
공동공장설립승인신청,정책사업단 경제과
법인기본재산처분허가,주민복지국 사회복지과
외국인 토지취득허가,자치행정국 토지정보과
건강기능식품 영업자지위승계신고,주민복지국 청소위생과
소하천공사시행(소하천점용·사용)허가,읍/면/동사무소
도로점용허가 (일시),건설도시국 건설과
사회복지시설 설치·운영 신고,주민복지국 사회복지과
폐기물처리업(폐기물처리 신고자) 휴업·폐업·재개업 신고,주민복지국 환경과
동력장치설치(변경)허가,주민복지국 환경과
석유판매업(용제판매소)등록,정책사업단 경제과
폐기물처분시설 또는 재활용시설 설치 (변경)승인 신청,주민지원국 청소위생과
국가지정(등록)문화재 현상변경 등(착수·완료) 신고,정책사업단
인쇄사 (변경)신고,주민지원국 문화체육과
중소기업 공동사업계획 (변경)승인,자치행정국 종합민원과
골재채취업 등록사항 변경신고,자치행정국 토지정보과
한약방이전허가,보건소 보건과
계란집하업 휴업(폐업·영업재개·등록사항변경) 신고,주민복지국 농업정책과
검사유효기간 연장(검사유예ㆍ명령이행기간연장) 신청,건설도시국 교통과
허가사항 변경허가(문화재),정책사업단 정책사업과
공원내 행위신고,건설도시국 건축과
오수처리시설 및 정화조 폐쇄신고,주민지원국 환경과
노인주거(의료·여가·재가)복지시설 폐지·휴지 신고,주민지원국 사회복지과
대규모점포(준대규모점포) 개설(변경)등록,주민지원국 경제지원과
전화권유판매업신고,주민지원국 경제지원과
식품관련영업 허가사항 변경허가(신고),주민지원국 청소위생과
도로점용허가 (굴착),자치행정국 종합민원과
동물병원 개설신고 변경,농업기술센터 농업정책과
옥외광고물 등의 허가(신고)사항 변경허가(신고),건설도시국 도시시설과
토지거래계약허가,주민지원국 사회복지과
화물자동차 운송사업 영업소허가,건설도시국 도로교통과
내수면어업허가,농업기술센터 농축산과
대체산림자원조성비 분할납부,자치행정국 종합민원과
액화석유가스 충전사업등의 지위승계신고,경제정책실
액화석유가스의 충전사업(집단공급사업·판매사업·저장소설치) 변경허가,경제정책실
건축공사 착공연기신청,건설도시국 건축과
(직업소개·직업정보제공·근로자공급)사업변경(신고·등록·허가)신청,경제정책실
"마약류취급자, 원료물질수출입업자 및 원료물질제조업자 사망·제한능력자·법인해산·학술연구종료 신고",보건소 보건과
액화석유가스의 충전사업(집단공급사업·판매사업·저장소설치) 허가,주민지원국 경제지원과
배출부과금 징수유예 및 분납신청,주민지원국 환경과
사업계획 (변경)승인(외국투자가),건설도시국 건축과
"종축업 허가, 변경허가 신청",농업기술센터 농축산과
비산먼지시설기준 변경신청,주민생활지원국 환경관리과
신고대상 배출시설 설치신고,행정관리국 종합민원과
입목벌채/임산물 굴취·채취 (변경)허가,행정관리국 종합민원과
건설폐기물처리업 허가(변경허가) 신청,주민생활지원국 청소위생과
유해화학물질 영업 폐업·휴업·가동중단신고,주민생활지원국 환경관리과
자가용자동차 유상운송허가,주민생활지원국 교통행정과
산지전용허가 변경신고,행정관리국 종합민원과
노동조합 설립(설립신고사항 변경)신고,과학경제진흥실
관광사업계획 변경승인,주민생활지원국 문화체육과
산지전용(변경)신고,행정관리국 종합민원과
식품영업허가,주민생활지원국 청소위생과
가축분뇨 신고대상 배출시설 변경신고,행정관리국 종합민원과
건설업상속신고,건설도시국 건설과
관광사업 양수(지위승계) 신고,주민생활지원국 문화체육과
건축물 용도변경 허가(신고),행정관리국 종합민원과
지하수개발·이용의 (변경)허가(행위허가),주민생활지원국 환경관리과
대기배출시설 변경허가 및 변경신고,주민생활지원국 환경관리과
지하수개발.이용시공업등록사항변경신고,주민생활지원국 환경관리과
화물자동차 운송(운송주선·운송가맹)사업 상속신고,주민생활지원국 교통행정과
도로점용허가,행정관리국 종합민원과
개발행위허가 (토지형질변경·토석채취·공작물설치·토지분할·물건적치),행정관리국 토지정보과
