text,len_content,middle category,dept
법이니 산 정상 ( 별첨 지도 참고 ) 정자 및 벤치 철거 이유와 재설치 건의 법이니 산 정상 ( 별첨 지도 참고 )에 있던 정자와 벤치 철거 이유를 알고 싶습니다 많은 사람이 이용하고 있었고 정상이고 분기점이기도 해서 이런 시설이 아주 유용했는데 많이 아쉽습니다 가능하다면 재설치를 건의드리오니 적극 반영 부탁드립니다 ※ 첨부파일 : Screenshot_20230330-165504_KakaoMap.jpg,184,도시국,도시국 공원녹지과
"계림공원 ( 세진로 3길 43 ) 울타리 밧줄 교체 건의 안녕하세요 평소 구정에 노고가 많으십니다 다름이 아니라, 평소 범어 2동 주민으로서 국공립 키즈 하버드 어린이집 옆의 계림공원 ( 세진로 3길 43 ) 을 아이들과 함께 종종 이용하고 있는데요 계림공원의 울타리 역할을 하고 있는 밧줄이 낡아서 삭아 툭 건드리면 부스러져서 가루가 많이 날리는 상황입니다 계림공원은 인근 국공립 키즈 하버드 어린이집 원생들과 범어 2동 아이들이 애용하고 있는 허파 같은 곳인데, 밧줄의 가루날림으로 인해 아이들의 호흡기 건강에 문제가 생기진 않을지 우려스럽습니다 아무쪼록 계림공원 관리하시는 관계자분들께서 신속하게 울타리 밧줄을 교체해 주셔서 우리 아이들의 건강과 안전을 지켜주시길 간절히 부탁드립니다 ※ 첨부파일 : KakaoTalk_20230330_095727881_01.jpg KakaoTalk_20230330_095727881.jpg KakaoTalk_20230330_094723247.jpg",465,도시국,도시국 공원녹지과
,965,복지국,복지국 녹색환경과
"호반 서밋 수성 레미콘 차량 불법주차, 분진, 교통 불편 및 소음 발생 철수로 26길은 푸르지오 수성 레이크가 입주하였습니다 이 도로 사진과 같이 호반 서밋 수성 레미콘 차량들이 불법주차를 하여 매연, 분진, 안전사고 우려 및 불법주차에 따른 불편이 가중되고 있습니다 특히 이 도로는 전 구간 수성구청에서 불법주차 단속 도로로 지정되어 있습니다 교통영향평가 때 공사장 주위 불법주차를 허용하였는지 궁금합니다 공사 소음도 많이 나고 특히 황사가 심한 봄철 레미콘 차량 이동 시 분진도 많이 발생됩니다 현장에 호반건설의 CCTV도 달려 있습니다 확인하시고 행정지도를 해 주세요 레미콘 타설 때마다 항상 불법주차를 합니다 ( 거의 격일로 1주일에 2~3회 ) 녹색환경과, 교통과, 건설과, 건축과 모두 힘을 합해 민원처리 부탁드립니다 ※ 첨부파일 : 3월 28일 16시 철수로 26길 불법주차 6.jpg 3월 28일 16시 철수로 26길 불법주차 2.jpg 3월 28일 16시 철수로 26길 불법주차 8.jpg",462,도시국,도시국 교통과
고산 3동 동사무소 지하에 있는 운동시설을 다시 이용할 수 있게 해주시면 좋겠습니다 고산 3동 주민센터 지하에 있는 운동시설을 다시 이용할 수 있게 해주시면 좋겠습니다 이미 에어로빅이나 기타 운동들은 2층에서 수강생들을 받아서 하고 있는데 비싼 돈 들여서 운동기구를 구입해 놓고 쓰지 않으면 너무 아깝지 않겠습니까 실내 마스크도 권장으로 바뀌었으니 빠른 시일 내에 사용할 수 있으면 좋겠습니다,176,동사무소,고산3동
구라 저수지 낚시금지 범물동 삼덕 ic 앞 구라 저수지 낚시금지구역인데 낚시꾼들 밤낮으로 낚시를 하는데 버스도 다니기 어려울 정도로 주차도 마음대로 하고 제발 부탁드립니다 ※ 첨부파일 : 20230321_170057.jpg,112,복지국,복지국 녹색환경과
2차선 도로를 침범하여 건축자재를 쌓아놓았습니다 골목 황새 줄 선 2차선 도로에서 하행선에 신축 건물에 필요한 건축자재를 쌓아두었습니다. 차가 그것을 피해서 가야 하니 하행할 때는 상행치가 서있어야 합니다 ※ 첨부파일 : 20230321_110140.jpg 20230321_110133.jpg,128,도시국,도시국 건설과
,870,도시국,도시국 교통과
정보공개 신청을 전자 민원으로 슆게 할 수 있도록 해주세요 구청 행정에 대하여 정보공개 민원 접수를 인터넷으로 할 수 있도록 해주시기 바랍니다,47,행정국,행정국 정보통신과
,1225,도시국,도시국 건축과
"수성뷰엘 준공승인 결사반대 300여 세대 1200명의 목숨이 위험합니다 수성구청에 민원이 빗발치는데 현장 확인도 없이 서류상 문제가 없어 승인해도 구청 책임은 없다는 건축계 담당자들 강력한 징계 처분 바랍니다 뷰 얼은 내화충전재가 없어 화재 시 순식간에 전 세대로 불이 번지게 되어있고, 방화시설이 하나도 작동이 안 되는데 소방감리는 문제없다고 서류작성하고, 입주민들의 요청으로 다시 시연하자니 안 하겠다고 버티다가 확인이 되자 지난번 점검 때는 작동했다고 우깁니다 아파트 모든 비상구 계단 난간이 스테인리스가 아니라 플라스틱으로 되어있고 고정이 안되어 장난감 조립처럼 위청 거립니다 누가 기대기라도 하면 바로 추락입니다ㆍ 피난구역 돎 계단이 위험해서 건축법상 안되는데도 불구하고 법적 해석에 차이라고 일축하고 진행합니다 ㆍ 전 세대 안전을 위협하는 공용부분의 심각한 상황을 그저 작은 하자라고 간주하는 구청의 안일한 태도가 동광건설의 부실시공을 부추기고 있습니다",463,도시국,도시국 건축과
,539,도시국,도시국 건축과
,1538,도시국,도시국 건축과
뷰웰 건설사와 결탁한 공무원들 강력한 처벌 바랍니다 수성뷰웰리버파크 준공승인 결사반대,45,도시국,도시국 건축과
,1247,도시국,도시국 건축과
,1285,도시국,도시국 건축과
,1313,도시국,도시국 건축과
,1366,도시국,도시국 건축과
,1219,도시국,도시국 건축과
,1219,도시국,도시국 건축과
수성뷰웰 준공승인 반대 화재 시 인명대피시설인 비상계단 난간이 플라스틱으로 되어있고 제연 시설 동작시 방화문 동작 불량,50,도시국,도시국 건축과
"수성뷰엘리버파크 준공승인 반대합니다 비상계단 난간이 플라스틱으로 되어있고 고정 불량, 화재 발생 시 제연 시설 동작 중 방화문 작동 불량",50,도시국,도시국 건축과
수성 뷰웰 리버파크 관리 감독 철저히 해주세요 아파트 전체적으로 배수로 작업이 너무 대충대충 아닌가요 신생 회사도 이렇게 공사 안 합니다 설계에 없던 공사를 하다 보니 시정 조치 받았음에도 이렇게 마감한다니 참 어이가 없습니다 입주민들은 안중에도 없는 동광건설. 시행사까지 아파트 어딜 가도 하자 투성이에 눈속임으로 대충대충 부실공사입니다 현장소장. 감리 책임자에게 꼭 시정 조치해 주세요~대화가 안되는 건설사입니다 ※ 첨부파일 : 1679200210267.jpg,227,도시국,도시국 건축과
,733,도시국,도시국 건축과
,1244,도시국,도시국 건축과
,1349,도시국,도시국 건축과
,1219,도시국,도시국 건축과
,1219,도시국,도시국 건축과
수성뷰웰 준공승인 반대 어떻게 서류만으로 준공승인을 할 수가 있나요 제연설비가 제대로 작동을 안 하는데 서류에 거짓으로 적으면 통과되는 건가요 내가 낸 세금으로 월급 받으면서 일 똑바로 하세요 준공승인 나면 모두 고발할 거예요 적어도 안전기준은 확인하고 제대로 처벌해야 하는 거 아닙니까,145,도시국,도시국 건축과
,510,도시국,도시국 건축과
"수성뷰웰 리버파크 준공승인 반대 요청합니다 안녕하십니까 수성뷰웰 리버파크 입주 예정자입니다 입주를 코앞에 앞두고 이리 입주하게 될까 겁나기는 상상도 못 해본 일입니다. 이미 전화로든 서식이든 이 상황에 대해서 다 알고 있으리라 생각됩니다. 거두절미하고 현시점에서 건축과에 계신 공무원들 본인이든 가족이 입주한다면 그냥 하시겠습니까 구청에서 어찌 구민들 편에서 안전을 최우선으로 생각해 주어야지 시공, 시행사 편에서 말합니까 그냥 단순한 투정이 아닙니다 인사 사고가 난 뒤에 기사가 난 뒤에 불 끄는 식으로 일 처리하려고 하십니까 우리 입주민들은 불안합니다. 부실시공이 한두 군데가 아닌 아파트에 그것도 하자 보수도 제대로 되지 않을게 확실한 부조리한 시공, 시행사를 어찌 믿고 입주를 할까요 .. 제발 당신들의 가족이 입주한다면 어떨지 한번 생각해 봐 주세요 .. 감리가 나와 함께 한 여러 확인들이 기도 차지 않습니다. 부디 재차 입주민들의 말에 귀 기울여주세요",432,도시국,도시국 건축과
,1130,도시국,도시국 건축과
히트 짐 헬스장 일방적인 유료화 집은 북구니지만 평소 범어동 히트 짐에서 운동합니다 지금 회원들이 가입할 당시 Gx 프로그램과 스피닝을 횟수 제한과 별도 비용 없이 이용할 수 있다는 이점 때문에 년 회원으로 가입을 하였는데 갑자기 2023년 4월부터 주말에만 Gx 프로그램과 스피닝을 유료 전환한다는 통보를 받았습니다 헬스장과 면담을 했는데 유료화 계획을 철회할 수 없다고 하네요 유료화를 하면 기존 회원들과의 계약 위반 아닌가요 바쁘시겠지만 지정 부탁드립니다 ※ 첨부파일 : 73A39D5E-C7AB-4206-9509-11DE34FA92E9.jpeg,287,문화교육국,문화교육국 체육진흥과
대구 수성구 중동 수성뷰웰리버파크 준공 승인 관련 반대합니다 안녕하세요 수성구 중동 수성뷰웰리버파크 예비 입주자입니다 지난주 금요일 제연 실험 관련 아파트에서 진행하였는데 기준이 부적합하고 방화문 화재실험 결과 방화문이 제대로 밀폐되지 않아 실제 화재 시 큰 위험이 있을 수 있습니다 안전에 대해 이런 시설이 제대로 갖춰지지 않고 준공승인이 이루어진다면 나중에는 큰 인명피해를 피할 수 없습니다 월요일에 준공 승인이 이루어진다는 이야기를 들었는데 이런 시설들이 제대로 갖춰지지 않고 승인이 난다는 것은 있을 수 없는 일입니다 다시 한번 안전 설비 시설 확인 간곡히 부탁드리며 당장 시간에 쫓겨 준공승인을 내는 것에 절대 반대합니다,308,도시국,도시국 건축과
,591,도시국,도시국 건축과
,813,도시국,도시국 건축과
수성뷰웰리버파크 소방법 위반 준공승인 반대 수성뷰웰 리버파크 소방법 위반으로 준공승인 반대신청합니다 3월 17일 감리 통해 소방법 불량이란 걸 확인했는데 수성구청은 왜 3월 20일 승인을 한다는지 도무지 이해가 안 갑니다 수성 소방서에서도 소방시설 부적합이라고 했는데도 불구하고 승인을 진행하는 수성구청에 답변이 궁금합니다 서류 제출한 감리 보고서도 조작인데 불구하고 실사하지 않고 승인은 하면 안 됩니다 공무원의 본분을 알아야 됩니다 이번 범물 일성 트루엘도 그렇게 해놓고 지금 와서 또 이렇게 하면 안되는 거죠 소방은 생명과 연계되어 있습니다 이 부분 승인하면 이 모든 책임은 수성구청이 져야 됩니다,305,도시국,도시국 건축과
"수 성 패밀리파크에 텐트 설치 수 성 패밀리파크에 캠핑장은 못 만들더라도 한강처럼 낮과 밤에 텐트 설치는 허용해 주시면 감사하겠습니다 공익요원이나 관리하는 사람 1,2명 상주하면 충분히 가능합니다 한강처럼 텐트 개방으로 하고 ... 수성구에 여러 시설은 많은데, 텐트 칠 곳 하나 없어서 참 답답하네요 수성구민들의 행복을 위해 노력해 주셔서 감사합니다",179,도시국,도시국 공원녹지과
,516,도시국,도시국 건설과
"알파시티 청아람 후문 쪽 좌회전 가능 여부 문의드립니다 안녕하세요 저는 알파시티 청아람에 살고 있는 입주민입니다 귀가 시 후문으로 들어올 경우 수많은 입주민의 상당한 시간 상당한 비용이 들어가고 있습니다 월드컵 네거리에서 좌회전 후 아파트 방면으로 오면 좌회전이 되지 않아 노변 대백 아파트를 지나 우회하도록 되어 있습니다 또한, 농업 마이스터고로 진입을 하여 귀가를 하더라도 좌회전이 되지 않아 로터리까지 내려갔다가 다시 돌아오는 행위를 하고 있습니다 후문으로 올 수 있는 방법이 정문, 노변촌 쪽에서 오는 방향, 농업 마이스터고, 월드컵 대로에서 오는 방향 2가지가 있다 한다면 현재 입주민의 50 가 이렇게 시간과, 비용을 많이 들어가고 있습니다 이에 해당 부서에서 검토하여 주시면 감사합니다",356,도시국,도시국 교통과
"철거 건물로 인한 피해 민원 신청 5층 이상의 큰 건물이 철거되면서 발생한 소음 분진과 정신적 피해를 넘어 재산상의 피해까지 발생하여 민원을 신청합니다 3월 6일 첫 공사 시작 후, 가림막이나 분진 차단막을 3,4일 뒤늦게 설치하였고 사유지를 침범하여 저희 건물 앞마당 바닥 파손, 옆마당 불법 점거, 건물 유리창 파손 등 심각한 재산상의 피해를 입었습니다 건설 감리는 똑바로 현장을 보고 있는지, 면허 있는 철거업체가 철거 계획서를 제대로 작성하고 그 계획에 따라 진행하는 게 맞는지 30년 넘은 오래된 건물에 석면 같은 위험한 잔재물은 없는지 너무 염려스럽습니다 생활 소음 진동의 규제를 초과하지 않고 인명 재산상의 피해가 없게 모든 적절한 안전 조치를 실시하고 점검하여 주시길 바랍니다 ※ 첨부파일 : 1678591100035.jpg 1678592938557-13.jpg 1678592938557-1 0.jpg",437,도시국,도시국 건축과
같은 사업자로 된 공영주차장이 아래쪽 위쪽 돈을 두 번 받는 게 맞나요 라온제나부터 프 라이브 성형외과까지 이어지는 범어천로 노상주차장에 대해 문의드립니다 할미 국밥 ( 범어천로 56 ) 앞에서 주차를 3시간하고 5100원이 나왔고 저는 두레 새마을금고 ( 범어천로21 ) 앞에 다시 주차를 할 예정이라 범어천로 노상주차장의 하루 최대 요금인 6천 원을 지불했습니다 그런데 범어천로21 쪽의 관리인은 거긴 거기고 여긴 여기니 또다시 돈을 내라고 합니다 제가 이체로 지불을 해서 같은 사업자인 범어천로 서ㅇㅅ님에게 두 번 보내게 되었는데 아무리 생각해도 이상합니다 담당자분은 확인 부탁드립니다 ※ 첨부파일 : KakaoTalk_20230311_171337717.jpg,323,도시국,도시국 교통과
무학 숲 숲 체험장 미끄럼틀 수리 요청합니다 무학 숲 숲 체험장 ( 무학 숲 도서관 앞 )에 짚라인에 연결된 미끄럼틀이 파손된 채 몇 달째 방치되고 있습니다 출입 금지라고 띠를 둘러 놓았지만 아이들이 들어가서 놀기도 해서 위험해 보입니다 빠른 수리 부탁드립니다,117,도시국,도시국 공원녹지과
거꾸로 인생 학교 신청대상 거꾸로 인생 학교 개설을 환영합니다 그러나 나이 제한으로 인해 참가할 수 없음이 불만입니다 배우고자 하는 열망을 나이가 많다고 해서 제한하는 것은 아니라고 봅니다 참고해 주십시오,104,문화교육국,문화교육국 교육지원과
신매시장 주차장 공사 관련 불편사항입니다 신매시장 주차장 공사로 인해 고산 도서관 가는 인도가 없어졌습니다 옆에 도로로 사람과 차들이 뒤섞여 아주 위험하게 다니고 있습니다 어린이들이 많이 이용하는 도서관인데 하루빨리 임시든 정식이든 안전하게 다닐 수 있는 인도를 만들어주십시오,134,기획재정국,기획재정국 일자리경제과
KCC 때문에 고통과 피해를 입어서 힘드는데 이제는 주차까지 저희 드림 힐즈에 막 주차 옆 스위첸 공사현장으로 인하여 몇 년을 고통받고 있는데 이제는 저희 드림 힐즈에 무딘 으레 주차해놓고 해도 해도 너무하네요 이건 정말 도를 넘는 거 아닙니까 구청은 도대체 뭘 하는 건지 모르겠습니다 하루빨리 조치 부탁드립니다 ※ 첨부파일 : 20230309_163145.jpg,151,도시국,도시국 건축과
,670,도시국,도시국 건축과
두리 마루 둘레길 에어건 설치 요망 두리 마루 둘레길 산책을 자주 하는데 요즘 봄이라 그런지 먼지가 너무 많습니다 기분 좋게 산책을 마치고 내려오면 바지랑 운동화가 온통 먼지투성이가 됩니다 둘레길 초입 ( 석가사 인근 )에 에어건 설치 부탁드립니다 다른 등산로에는 에어건이 거의 다 있던데 이곳에는 없어서 너무 아쉽네요,158,도시국,도시국 공원녹지과
수성구 상화로 125일 대 주정차 단속 수성구 상화로 125 일대부터 금수강산까지 주정차 단속에 관해서 신규 입주한 아파트로 인해서 .. 주정차 단속이 강화됐는데 .. 불법 주저 차가 온당하다는 입장은 아니지만 기존 상권에 피해를 주는 집중 단속은 너무 과하다는 손님들의 불편사항과 기존에 있던 주차라인도 없애고 .. 공용주차장을 만들어주지도 않고 일률적으로 단속만 강화하는 거 기존 상권들 다 죽으라는 행위로 보이며 수성구청에서는 공용주차장을 만들어주던지 단속을 하지 말던지 꼭 이 문제를 해결해 주시길 바랍니다 .. 간곡히,256,도시국,도시국 교통과
,677,도시국,도시국 건축과
,952,도시국,도시국 건축과
,673,도시국,도시국 건축과
,661,도시국,도시국 건축과
"수성 효성 헤링턴 플레이스 남측 스크린도어 앞 인도상 차량 통행 및 불법 주정차 건 안녕하세요~ 수성 효성 헤링턴 플레이스 입주민입니다 아파트 남측에 스크린도어가 설치되어 있고 스크린도어 외부 쪽에 인도가 있는데 반은 아파트 공용부분이고 반은 나라 것으로 알고 있습니다 문제는 인도 쪽 턱이 낮다 보니 지나다니던 차량이 아파트 쪽 인도로 진입해서 유턴을 하고 심지어 인도 위에도 주차를 하며 그리고 남측에 가까이 위치한 어린이집 등 하원 시간에는 더욱더 이런 상황이 자주 벌어집니다 그로 인해 남측 스크린도어 쪽에서 등 하원하는 다 유치원 타 어린이집 아이들과 아파트 상가 내 학원, 편의점을 이용하는 학생과 주민들은 수시로 인도를 침범하는 차량으로 인해 늘 사고의 위험에 처해있으며 심지어 사고 날뻔한 경우도 많았습니다 인도를 침범하지 못하게 도로와 인도상 단차가 나게 재 공사해 주시기를 바라고 그와 더불어 주차도 봉 설치, 인도 내 주정차 금지, 과태료 부과 안내판 설치를 부탁드립니다 ※ 첨부파일 : 20230303_133818.jpg",468,도시국,도시국 건설과
철수로 24길 호반 서밋 공사장 앞 보행자 통로 개선 철수로 24길 호반 서밋 아파트 공사장 앞 도로 보행자 인도 길이 없어 교통사고 우려가 많습니다 임시방편으로 통로를 만든 것 같은데 자갈 같은 돌을 깔아 놓아 넘어지기 쉽고 보여주기식처럼 해놓은 것 같은데 인근 공사현장 보행자 통행로와 너무 비교됩니다 현장 방문하여 실태 점검하셔 사람이 다닐 수 있도록 조치 바랍니다 공사차량도 많이 드나들고 자동차도 많이 다니는데 사람은 어디로 다녀야 하나요 몇 해 전 옆 현장 공사차량에 치여 사망사고 난 사건도 있는 줄 압니다 인근 현장 보행자 통로 첨부파일 사진 참고 요망 ※ 첨부파일 : 20230226_164753.jpg,316,도시국,도시국 건축과
,513,도시국,도시국 건축과
,462,도시국,도시국 건축과
,539,도시국,도시국 건축과
지 산 어린이 공원 벤치 페인트칠 며칠 전에 지산 어린이공원 벤치에 앉았다가 옷이며 가방에 페인트가 묻어 민원을 올립니다 어떤 업체에 맡기시는지 모르겠지만 주의가 필요해 보입니다 페인트가 완전히 마를 때까지 주의 안내 테이프를 떼지 말아야 하는데 테이프가 모자랐는지 일부는 쳐져 있고 일부는 없길래 테이프가 없는 곳에 앉았다가 옷을 버렸습니다 지난여름인가 가을에 무학산에 등산을 갔다가 그때도 테이프가 없는 벤치에 앉았다가 덜 마른 페인트에 옷이 쩍 붙어서 보풀이 다 일어났었는데 이번에 지산 어린이 공원에서 또 당하니 속상하고 화가 나네요 지속적인 벤치 관리는 잘 해주시나 칠하시는 분들의 꼼꼼한 뒷마무리가 필요해 보입니다 완전히 마를 때까지 모든 벤치에 주의 문 위나 테이프를 확실히 쳐주세요 ※ 첨부파일 : 20230224_192207.jpg,406,도시국,도시국 공원녹지과
"철수로 24길 41 타미우스 옆 공사 소음 때문에 미칠 것 같습니다 공시 소음 때문에 미칠 것 같아요 건물이 흔들리고 창문이 떨려서 스트레스를 너무 받네요 하루 이틀도 아니고 한 달째 저러고 있는데, 형식적인 것 말고 현실적인 대책을 좀 구안해 주세요",99,복지국,복지국 녹색환경과
아파트 공사로 주차와 타이어 펑크 동이고 중 민원 여부 동이고 중 민원 여부 : 선행 민원번호 : 202103121335290674 선행 민원 상세조회,56,도시국,도시국 건축과
낙엽이 이 시기까지 괴롭힙니다 동이고 중 민원 여부 동이고 중 민원 여부 : 선행 민원번호 : 202111080908356245 선행 민원 상세조회,56,도시국,도시국 공원녹지과
"범어 라온프라이빗 1차 주변 불법주차 단속 등 요청 범어 라온프라이빗 1차 주변 도로 불법주차 단속 요청드립니다 학교 주변이라 어린이 보호구역임에도 불구하고 불법주차 차량들 때문에 아이들이 위험합니다 특히, 범어 안경 앞 U턴 구역에 주차된 차량이 많아 한 번에 U턴을 하기 힘듭니다 그래서 진행하는 차량에 방해를 주고 이로 인해 급정거 등이 발생하여 차량 사고 위험이 있습니다 또한, 범어 대성당 뒷길 대부분이 어린이보호구역임에도 불법주차된 차량들 때문에 양방향 진행이 어렵고, 인도가 좁아서 아이들이 차도로 갑자기 뛰어나오기도 해 사고 위험이 매우 높습니다 단속을 강화하던지 주차 금지용 구조물을 세우든지 해서 위험을 줄일 필요성이 있어 보입니다 아무쪼록 조속한 조치 부탁드립니다 감사합니다",363,도시국,도시국 교통과
,2565,도시국,도시국 건축과
파동으로 14길 골목에 낙엽 골목에 낙엽이 아직까지 쌓여있습니다 심합니다 아무도 신경을 안 쓰네요 지자체에서 관리하는 나무가 아니더라도 처리되지 않는 낙엽이 있으면 누가 청소를 해야 하는지 알아보고 조치를 취해야 하겠습니다 나무 주인 찾아가서 조치를 취하도록 했으면 좋겠습니다 낙엽 쌓이고 이대로 두다가 봄 오고 여름 오고 벌레 쥐 들끓고 뭐 동네를 거름 밭으로 만들 생각 아니라면 빠른 조치 취해주세요 그리고 파동으로 14길 12 여기 주소지에 밭으로 쓰고 있는 땅이 하나 있는데 이게 소유주가 없는 걸로 알고 있습니다만 누군가가 밭으로 쓰고 있습니다 쓰고 있는지 오래되었고 민원도 제법 들어간 걸로 알고 있는데 뭐하나 바뀌는 게 없네요 울타리 제대로 치라고 구청 직원들이 와서 말하고 간 거 같은데 울타리 친다고 뭐가 달라집니까 거기 땅을 무단으로 점거해서 밭으로 쓰는 자체가 말도 안 되는데 일 크게 만들어지기 전에 땅 제대로 정리하고 정부 소유 땅이라면 공원답게 조경을 이쁘게 하던지 환경 제대로 신경 좀 써주세요,496,동사무소,파동
신매교 낙상 우려 대구에서 경산 쪽 방향의 신매교 끝부분 도로를 넓히면서 공사를 하였는데 시지 효성 백년가약 아파트 건너쪽으로 신매교 끝부분에 나간을 하지 않고 자세히 주변을 살피면서 보행하지 않으면 강변 쪽으로 가면서 낙상 위험이 있습니다 모든 보행자의 우려로 민원을 넣습니다 라온 아파트 입주를 대비하여 업체에서 도로 확장 공사를 하였는데 난간을 설치하던지 안전에 신경 써서 다시 보완 부탁드립니다,210,도시국,도시국 건설과
,809,도시국,도시국 건축과
,1025,도시국,도시국 건축과
"음식물 쓰레기 수거 음식물 쓰레기 스티커 부착하여 내놓았는데 월요일 새벽, 오늘 새벽 두 번이나 수거를 안 해 가고 있습니다 옆집들은 다 통 비워져있던데 수거 안 한 이유가 무엇입니까 ※ 첨부파일 : 20230201_071930.jpg",119,복지국,복지국 자원순환과
"경신고등학교 건너, 앞 버스정류장의 이름에 대한 건의 안녕하세요 추운 날씨에 수고하십니다 달구벌 대로 버스정류장 명칭 개정을 건의하려고 합니다 경신고등학교 건너 → 수성구청 역 ( 4번 출구 ) 경신고등학교 앞 → 수성구청 역 ( 3번 출구 ) 해당 정류소는 대구 도시철도 2호선을 이용하는 많은 사람들이 이용하고 있습니다 이곳은 도시철도 - 버스 간 환승을 유도할 수 있음에도 불구하고 수성구청 역보다 몇 배나 더 멀리 있는 경신고등학교의 이름을 정류 소명으로 쓰고 있어서 15개 노선들의 노선도에는 수성구청 역의 이름이 드러나고 있지 않습니다 모르는 사람들은 15개 노선을 탔더라도 이 역에서 환승할 수 있는 줄 모르고 있습니다 정류 소명에 수성구청 역을 노출함으로써 수성구청 역의 더 많은 환승객 유치를 노릴 수 있을 것으로 생각됩니다 아울러 종류 소명으로서 공공용물의 명칭을 더 선호한다는 수성구의 입장과도 일치합니다",417,도시국,도시국 교통과
인도 보도 보수공사해 주세요 동문 초등학교 후문과 화성 아파트 사이 도로 건너 인도 위 보도 상태가 층이 져서 산책하다가 발이 걸려 넘어져 다친 사람입니다 .. 밝은 낮에는 잘 보이니 위험성이 덜한데 어두운 밤에는 위험합니다 다른 사람이 또 걸려 넘어지기 전에 작업을 해주셔서 사고가 재발되지 않게 해주세요 위치 사진 첨부합니다 .. ※ 첨부파일 : 20230127_211734.jpg,187,도시국,도시국 건설과
