title,content,dept
신호등 앞 노점 사과 판매 단속 부탁드립닌다.,"안녕하세요. 평리동으로 출퇴근하는 직장인입니다. 다름이 아니라 신호등 앞에서 사과를 매주 불법으로 판매하고 계시는 아저씨분이 계셔서 민원드립니다. 매일 같은길을 출퇴근하는데 너무 위험하게 신호등앞에서 판매를 하고계시고 골목에서 차가 나오면 바로 우회전 할수 있는 곳인데 주차되어있는 차 뒷편에서 팔고 계셔서 지나갈때마다 너무 놀랍니다. 그리고 지나가실때마다 계속 사라고 소리도 지르시고, 인도랑 신호등앞에서 판매하고 있느건 불법 아닌가요..? 써브웨이 평리점이랑 사리원 그 골목앞 신호등에서 판매를 계속 하십니다. 저번에 써브웨이에서 샌드위치 사먹고 나가는길 신호등 앞에서 해당 매장 담당자가 가서 여기서 판매하시면 안된다고 계속 판매하시면 신고할 수 밖에 없다고 아저씨한테 가서 말씀하시는거 들었습니다. 그렇게 말하니 아저씨가 써브웨이 땅에서만 판매 안하면 되지 않냐면서 신호등까지 가로막으면서 판매를 하시는데 그 모습을 보고 경악할수가 없습니다. 이렇게까지 사람들에게 피해를 주시면서 불법으로 노점장사하는건 아니라 봅니다. 오늘도 지나가면서 신호등 앞에서 판매하는거 보고 민원 넣습니다.
써브웨이 평리점과 그 옆 사리원 길에 있는 작은 신호등 앞에서 파십니다. 오늘 나와계시니 확인해보시고 조취부탁드립니다. 지나가기 너무 불편한데 계속 판매하는거 보이시면 계속 민원 넣겠습니다...",도시안전국 도시재생과
좁은 인도 때문에 넘어 질뻔했습니다,"인도가 좁고 보차도 가 함께 있어 노인네들은 다니기 더욱 힘들어 졌습니다
예전에는 옆에 땅이 평탄화 되어있어 다니기 쉬었는데 경계석 이 발에 걸리고 밤에는 위엄합니다 경계석을 치워주세요

※ 첨부파일 :
KakaoTalk_20230316_155829081_02.jpg
KakaoTalk_20230316_155829081_01.jpg",도시안전국 도시공원과
649버스 기사 신고,"23년 3월 9일 오후 10시 43분경 수성구 신매동 고산도서관 앞 정류장에 도착한 649 장애인버스 기사를 신고합니다
방천시장(김광석길 앞)에서 탑승해서 고산도서관앞까지가 제 목적지였습니다
현재 도착지 정류장 주변은 공원을 다 없애고 신매시장 주차장 공사로 주변환경이 많이 바뀌어있습니다
제가 안내방송을 미처 듣지못하고 목적지에 도착했을즘에 순간 저의 목적지의 환경이 바뀌어서 좀 당황했었습니다
어두워서 내가 지금 잘못본건가? 여기가 원래 공사를 하고있었던가?
그러는 찰나에 버스가 출발하게되서 아차 싶어 그냥 다음 정류장에서 내려서 좀 걸어가려했는데
아주 조금 출발하다 바로 멈춰서 승객을 태우는겁니다
그래서 세운김에 저도 내릴수 있겠다싶어 벨을누르고 기사님께 기사님 문좀 열어주세요~ 정확히 출발하기 전에 말씀 드렸습니다
(정차를 하고있던 위치도 앞에 다른 버스가 정류장앞에서 승객을 태우고있어서 그 한참 뒤에 서있었습니다.
그러고 앞차가 가고나서 조금 앞으로 가서 기다리던 승객을 태운거죠 그때 제가 내리려고 벨을 누르고 열어달라 말씀드렸습니다)
못들으셨는지 그냥 출발 하시길래 기사님~ 문좀 열어주세요! 두어번 다시 말씀드렸더니 갑자기 그 거울로 절 쳐다보더니
아이씨발 장난하나 라며 문을 열어주는겁니다 저는 잘못들은줄알고 내리지 않고 계속 쳐다봤습니다
내가 잘못들은건지 나한테 하는말이 맞는지 판단이 안섰습니다
사람도 좀 타고있던 상황인데 제가 뭘 그렇게 잘못을 했다고 그 많은 사람들 앞에서 그런 욕설을 하는지 이해가 안됬습니다
그 기사님이 안좋은일이 있으셨던건가요? 그날하루가 되게 고단했나보죠? 그러다 저한테 화풀이를 하신건가요?
저도 지친몸을 끌고 타는 퇴근길입니다. 집을 코앞에두고 그런 욕을 들은 저는 어떻겠습니까?
버스 기사님을 채용하실땐 어떤 기준으로 뽑나요? 뭐 어떤 기준을 떠나서 모든일엔 인성교육이 순서아닌가요?
저런 저급한 인간때문에 다른 선량하고 친절하신 기사님들이 욕을 먹는겁니다
출퇴근을 그 버스를 이용해야합니다 그럼 한번더 마주칠수있겠죠? 그래서 요즘 버스도 안타고 돌아가야하지만 지하철을 이용합니다
덕분에 제가 매일 이용하던 버스를 안타게되네요
저는 그 기사의 진정성있는 사과를 바라며 (직접적인 연락은 피하고싶습니다 대신받아주세요 제 신상이 그런 사람에게 알려지는게 싫습니다)
빠른 확인과정과 어떠한 조치든 꼭 바른 조치가 이루어지길 바랍니다 그 조치과정(내용)과 결과도 저도 알수있다면 알고싶습니다
제가 이전에 이미 두드리소에 민원을 넣었지만 관활부서로 이관되었다는 통보만 받고 시간만 지나고있는것같아 다시 문의를 드리니
상세한 진행사항은 서구청 교통과로 문의하라 하셔서 다시 남깁니다.
빠른 조치를 부탁드리며 이 사건이 해결이 될때까지 계속될 민원은 미리 양해부탁드립니다

※ 첨부파일 :
KakaoTalk_20230314_122140259.png
KakaoTalk_20230314_122140259_01.png
KakaoTalk_20230314_122140259_02.jpg",도시안전국 교통과
옆집 벽이 붕괴 위험이 있습니다,"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202211131439281735 선행민원상세조회",도시안전국 건축주택과
서구영어도서관 문화강좌 정원,"코로나로 인한 거리두기로 정원이 축소 되었던 걸로 압니다.
오늘 수강신청이었는데 아직도 정원이 10명이네요.
정원을 좀 더 여유있게 해주시면 좋겠습니다.",자치행정국 교육청소년과
계속 되는 민원의 해결을 위해 도로를 개설해 주시기 바랍니다.,"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 201602241520483154 선행민원상세조회",도시안전국 도시재생과
도로장애물제거요청의건,"서구중리동 1159 번지 골목입구에 콘크리트장애물로인하여 골목으로 인쪽주민들의차량진출입이
원활하지못하여 제거해줄것을수차례요청하였으나 아무런답변도없이 수차례묵살당함 . .
누구를위해존재하는자치단체인지 매우유감스럽습니다

* 장애물제거요청일자
1 2월13일 ㅡ 서구청도시재생과로재거요청(663-2848) 연락주겟다하고선 답변없음
2. 2월14일 ㅡ .. 확인해서연락주겠다 답변업음
3. 2월15일 ㅡ 다시전화함 . 상중이동동사무소관활.그쪽으로전화하라고함
4. 2월 15일 ㅡ 상중이동도시안전국직원이랑통화함 . 담당자들어오면 바로연락주겟다 이후연락없음
5. 2월16일 ㅡ 상중이동사무소로 직접찿아감 .도시안전국직원과 팀장으로보이는분과미팅함
문제가있어보이는것같다 바로 현장나가서 확인하고
연락하겟다 연락처 이름남겨주세요하고선 본인수첩에메모까지하고선
20일이 지난 오늘까지 아무런연락없음

* 이일을 어떻게하면조을까요?",상중이동
공사 소음,"대구광역시 서구 비산 2.3 동 70-7 대로하이츠3차 빌라에 거주하는 시민입니다

다름이 아니라 옆집 허물고 건물 짓는중인데 왜 건축 허가가 떨어져서 공사 소음으로 모든 빌라사람들 신경을 곤두세우게하고

스트레스받게하는지 짜증이나서 문의합니다

이 글 작성하는 지금 이순간에도 쇄 갈리는 소리가 상당히 짜증납니다 지금 시간이 3월2일 오후 5시 51분입니다


이 시간에 내가 왜 소음을 들어야헙니까? 당신네들이 내가 소음 받는거에대한 피해보상해줄껍니까?

오후 4시이후로는 소음 안나게부탁드립니다",복지생활국 환경청소과
더욱 좁아진 인도,"비산2.3동 46-4번지 앞에 새로생긴 공원으로 동네에 파지를 주워 생계를 꾸리시는 어르신들의 이동통로가 불편하고 위험합니다.
공원이 생기면서 그전에 비해 기존의 가로수와 공원의 돌로 인하여 더욱 좁아져 어르신들의 리어커나 자전거 등 차도로 넘어와 다니시면서 매우 위험한 상황들이 생기고 있습니다. 공원 축소 및 인도 확장을 요청합니다.

※ 첨부파일 :
KakaoTalk_20230302_165341382_03.jpg",도시안전국 도시공원과
서구초등운영위원협회 회장 류은형입니다.,"구청장님 안녕하십니까 이렇게 서면으로 인사드리게 되는점 양해부탁드립니다^^
드릴말씀은 다름이 아니라 서문시장 도로가 자전거 거치대 노점상인 점거 때문에 시민들이 불편을 겪고 있습니다.
장사하는거야 생계문제라 어쩔수 없다하지만 자전거 거치대를 가게인양 창고인양 사용하는건 아닌거 같습니다.
자전거 댈 자리가 부족합니다.
해당부서로 민원을 넣었지만 단속하고 있다 계속 상주해서 단속 할수는 없지않느냐 답변뿐입니다.
장사를 못하게 할려는게 아니라 최소한 시민들이 사용하는 거치대 자리만큼은 보호 해달라는 것입니다.
오히려 상인들이 더 큰소리 칩니다. 딴데가서 대라고요
저하나만의 민원이 아닙니다 불편을 겪는 사람이 많아 대표로 다시 한번 민원을 넣습니다.
아무리 민원이 많아 시간이 부족하다 하지만 여러번 나갈거 한번이라도 제대로 나가서 강력하게 단속해주시면 좋겠습니다.
거치대 만큼은 노점상인이 아니라 일반 시민의 입장에서 봐주십시요.
아무리 전화해도 그자리는 노점상인들 창고로 놔두시는거 같아 구청장님께 한번더 민원을 넣어봅니다.
시민들의 거치대 사용에 대한 권리를 찾아주고 싶습니다!!

※ 첨부파일 :
Resized_20230226_074658.jpeg",도시안전국 도시재생과
평리재개발 3구역 영무예다음의 무대책,"서대구 영무예다음 청약시 3월 입주예정으로 공지되었습니다.
바로 다음달이 3월 임에도 영무측에선 확실한 입주날짜를 내놓지 않고 있습니다.
자가에서 자가로 가는 사람은 상관이 없을지라도
서구에는 자가보다 저처럼 현재 세입자분들이 더 많을것으로 예상됩니다.
세를 살고있는 사람들은 집을 비워줄 날짜를 집주인과 약속을하고
다음 세입자를 구하게 됩니다.
저희집은 넉넉잡아 3월말에 비워 주겠다 약속하고 세입자를 구하고 있습니다.
그런데 영무 입주날짜가 4월로 넘어 갈수있다는 소리가 들리더군요.
이사는 애들 소꿉놀이가 아니지 않습니까?
요이땅. 이사시작! 한다고 바로 실행할수 있는게 아니지 않습니까?
예정날짜가 한달앞둔 지금에도 아직 입주시기가 정해지지않은 영무예다음
정말 대책이 무대책입니다.
만약 갑자기 4월이후로 밀린다 할경우.
저희는 애를 데리고 이많은 짐을 지고 거처도 없습니다.
어찌해야 하나요?
가전,가구 기타계약건들 영무측에서 입주날짜를 정해주지않아
진행도 못하고 있는 상황입니다.
매사 일처리가 그렇지만 입주민들의 의견을 시종일관 무시하는 영무입니다.
부디 서구에 발전을 위해 재개발사업을 추진한 만큼
서구청에서 맡아서 수많은 입주민들이 원활히 거처를 옮길수 있도록
빠른시일내 입주날짜확답을 부탁드립니다.
그리고, 이미 많은 민원에 아시겠지만, 사전점검시 집안구조물들이 대부분이
쓸수없게 파손된채로 있었습니다.
수많은 세대들을 어떻게 다시 기한내에 보수할지 의문인데,
관심갖고 지켜봐주시길 부탁드립니다.
수많은 서구 주민들이 부당한 일을 겪지 않게 도와주세요.",도시안전국 건축주택과
만평아파트에서 기업은행까지 불법 도로 점유물은 왜 항상 그대로인가요?,"만평아파트 인근 복개도로부터 기업은행까지 양쪽으로는 상가들이 대부분입니다.
거주자 우선 주차구역도 아닌데 본인 상가 앞에는 절대 주차할 수 없도록 상시적으로 불법 점유물들을 두고 있습니다.
여러번 민원이 올라온 것으로 보이던데
구청에서의 답변은 -계도 조치 하였다- 라고 기재하시더군요.
그 계도조치의 내용이 궁금합니다.
불법 점유물을 회수하시는지 아니면 법적으로 관련 근거가 없어서 현장 방문만으로 끝내시는지,
벌금이라던가 직접적인 패널티를 부과할 수 있는 방안은 없는지.
민원이 올라올때마다 계도를 하시는 것 같은데 구두상으로만 하시는 건지,
계도 조치를 함에도 불구하고 지속적으로 다시 내어놓는 주민들에게는 어떻게 대처하시는지,
지속적인 민원에도 이 거리가 계속 변함이 없는데, 제도적으로 방법이 없다면 매일 사진 찍어서 민원을 올려야만 개선이 되는 걸까요?

※ 첨부파일 :
KakaoTalk_20230220_161126282.jpg
KakaoTalk_20230220_161126739.jpg",도시안전국 도시재생과
평리 3구역 영무예다음 부실공사후 무엇을 사전점검 하란 말입니까?,"서대구영무 예비입주자 입니다.
서대구 영무 사전 점검을 다녀 왔습니다.
가보니 사전점검인지 안전점검인지 미완성 공사 부위를 찾으라는 건지 공사가 마무리도 안 되었는데 무슨 사전 점검을 한다고 오라 했는지 도통 이해가 되지 않았네요.
이곳 저곳 급하게 작업 한다고 떡칠을 해놓은 실리콘 작업, 부서진 가구, 여기저기 담배 빵,
누수, 이곳저곳 묻어 있는 지워지지 않는 오염들, 미완성 된 작업 부위 등등.
물론 사람이 하는 일이니 잘못된 부분이 나올 수 있겠죠. 그래서 사전점검을 하고 부족한 부분을 보완도 하고 잘못된 부분을 수리하기 위해서 하는 것이 사전 점검 입니다.
하지만 영무 사전점검 현장은 기한 내 준공 승인을 받기 위해 밤 낮 없이 날림 공사를 했다는것을 한눈에 알 수 있었습니다.
많은 세대들이 엄청난 하자를 찾아서 신청했습니다.
하자보수가 완전히 끝나지 않으면 준공 승인은 물론 임시 사용 승인도 절대 해 주면 안됩니다.
대충대충 마무리 해도 준공 승인 이 나고 사용승인이 난다고 생각하고 있는 영무토건에 각인을 시켜 주시길 부탁드립니다.
담당자님 제발 좀 현장에 나가서 지도하고 관리 좀 부탁 드립니다.
사전 점검 후 현장보고 너무 어이가 없어 몇 자 올렸습니다.
제발 좀 원초적인 답변 말고 행동으로 좀 보여주십시오.
많은 세들들이 신청한 수 많은 하자들 깨끗하게 마무리가 된 후에 준공 승인이 날 것이라고 담당자님만 믿고 기다려 보겠습니다.
수고 하십시오.",도시안전국 건축주택과
평리3구역 재개발 (서대구KTX영무예다음) 부실공사에 대한 엄정한 조사를 촉구합니,"저는 평리뉴타운의 시작을 알리는 서대구KTX영무예다음 입주 예정자입니다.
내집 마련이라는 부푼 꿈을 안고 2월 3일~5일에 진행된 사전점검에 응했으나,
첨부드린 사진에서 보시는 바와 같이 기본적인 벽의 수직과 수평, 누수, 벽지 마감, 외부 크랙 등 마감을 엉망으로 해놓고 예비 입주민들을 사전점검에 초대하였습니다.
1구역쪽 옹벽 문제와 문화로 높이 차이, 기존 통지와는 다른 308동 앞 데크 설치 등으로 입주민들의 불만이 극에 달하고 있는 상황에서,
내부 시공 또한 엉망으로 해놓은 상황이라 분양자들은 불안감과 분노를 금치 못하고 있습니다.
사전점검 후 발견된 하자들 또한 접수기한이 끝나자마자 홈페이지를 닫아, 예비 입주민들이 하자 보수에 대한 진행상황도 입주하기 전까지는 전혀 확인할 수 없는 상황입니다.

이렇게 엉망인 현장에 대해 관리, 감독이 제대로 되지 않는 서구청에 대해 질타를 표하며,
전달드린 사항이 조속히 시정되어 서구의 부활을 알리는 평리뉴타운의 시작 서대구KTX영무예다음이 더욱 안전하고 좋은 아파트로 거듭나길 바랍니다.
이대로 준공허가가 난다면 입주민들은 두고보지만은 않을 것이란 것을 염두에 두시기 바랍니다.

※ 첨부파일 :
영무_타공부실.jpg
영무_누수.jpg
영무_그외.zip",도시안전국 건축주택과
여가시설 조성관련 재문의 드립니다.,"동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202302031104106577 선행민원상세조회",자치행정국 문화홍보과
3구역 서대구영무예다음 365동(북측) 상가분양자 입니다.,"안녕하십니까?
전 평리3재정비촉진구역 서대구KTX영무예다음 단지내상가를 분양받은 상가분양자입니다.
이번에 주택 사전점검이 있길래 간김에 상가도 둘러보았습니다.
한창 공사가 진행 중 이더군요.
그런데.. 현장을 가보니 1구역 공사가 진행되면 도로가 날거라면서..
도로가 나기전까진 상가 전용 주차장도 출입할 수가 없도록 막아두었더군요.
아예 차량은 들어갈수 조차 없는 구조로 막아두었더군요.
저는 상가 입주에 기대하면서 인근에서 월세주며 이날만 기다려왔는데..
처음 분양할땐 도로는 늦게 날수 있으나 상가이용엔 별 문제 없이 다 해줄꺼다.
하며 분양해놓고.. 그리고 몇 상가 분양후 .. 더이상 분양하지말라고 지침이내려왔다며
그이후엔 분양 조차 안하고 있더군요.이미 분양 받은 분양자들은 어떻게하란소린지?
입주에 기대엄청하고 현장을 가봤더니..
인테리어도 하지못하게 차량이 아예 접근조차 하지못하게 막아두셨던데..
영무에선 분양자들에게 단한번도 연락온게 없는데..
서구청이랑 영무에선 서로협의하게 2미터 인도를 설치하겠다며 합의했다?
저희는 인도가 아니라.. 차량이 근처에 근접할수있어야 인테리어를하든 장사를하든하죠..
이런문제가 생길지 알고 분양막으신거 아닌가요? 그럼 기존 가만히 기다려온 미리 분양받은 분양자들은
소수이니 바보가 되란 소립니까?
현장 가보시면 아시겠지만. 저기서는 인테리어조차 할수 없을정도인데
(자재 들고 날라야합니까?간판크레인들어갈수있습니까?)
이렇게해서도 준공허가를 내어주십니까?
심히 살펴봐주십사 요청드립니다.",도시안전국 건축주택과
학부모에게 교육정보를 제공해주세요,"안녕하십니까?
10월에 서구 평리동에 입주 예정이고
현재 대구서구맘앤파파 카페를 운영하고 있는 운영자입니다
카페에서 학부모님들과 정보 공유를 하다보면 서구는 교육환경이 다른 구에 비해 터무니 없이 낮아 많은 학부모님들이 걱정을 하고 있습니다.
수성구, 동구, 달서구에서는 대학 입시 설명회나 교육 정보를 학부모들에게 알려주는 설명회나 간담회를 진행하는 것을 보고
서구에서는 이런 부분이 많이 미흡한것 같습니다
학부모님들도 교육 정보를 알 수 있게 서구청에서 설명회나 간담회를 개최하는 등의 다양하게 정보공유 할 수 있는 기회를 마련한다면
서구의 교육 발전에도 많은 도움이 될듯 합니다
학부모들이 다양한 교육정보 받을 수 있는 프로그램을 많이 만들어 주시면 감사하겠습니다.",자치행정국 교육청소년과
서구에만 없는 여가시설건의,"서구 행정에 수고가 많으십니다.
대구전역에서 서구에만 없는 여가시설 중 캠핑장 조성을 요청합니다.

1. 서구를 제외한 대구 모든 구청에서는 캠핑장을 운영, 구정홍보에 활용하고, 구민 여가생활을 보장함으로써,
많은 인지도를 높이고 있습니다.
특히, 구민할인과 구민 우선예약제를 도입을 통해 행정서비스 만족도를 높이고있습니다.

2. 서구를 제외한, 대구시 구청들은 경북 시군과의 자매결연을 통해, 양쪽주민 모두가 할인을 받을 수 있도록 협약을 맺고있습니다.

종합 : 서구청은 구민 여가생활권의 질을 높이기위해, 캠핑장 조성에 대한 건의를 받아주셨으면합니다.
쌈지공원.... 최근 3~4년간 정말 많이 생겼으나, 그 활용성은 계속적으로 물음표가 남습니다.
모두가 이용할수 있지만, 모두가 이용하기에 꺼려지는 그런 공간으로 빠져들고 있단 생각 무척듭니다.
아직도 쌈지공원 2/3는 쓰레기통 조차 없습니다.
이번 기회를 통한, 쌈지공원 조성은 그만두고, 실제 홍보와 구민 여가권 보장이가능한 캠핑장 조성 추진 부탁합니다.",자치행정국 문화홍보과
평리동신축아파트(영무예다음)정문앞 인도에 설치된 불법구조물(테크)철거요망,"이렇게 민원 글을 올리는 이유는 현재 막바지 공사 중인 평리동 신축 아파트(영무예다음) 정문 옆 버스 승강장과 붙어 있는 테크 때문입니다.
제가 듣기로는 영무예다음 아파트 공사 현장 지하 구조물(주차장 상부 슬라이브)이 통행료에 돌출되어서 테크를 설치한다고 합니다.
이 무슨 말도 안되는 소리입니까? 아파트 지하 구조물이 잘못되었으면 아파트 지하 구조물을 수정하든지 재 공사를 해야지 몇 십 년 동안
아무런 불편 없이 시민들이 다니던 인도에 무슨테크를 설치합니까? 인도가 영무 땅 인가요? 3 구역 조합 땅인가요?
신축 아파트 지하 구조물의 문제 때문에 다수의 시민들이 이용하는 인도에 위험하고 불편한 테크를 설치했다는 것은 도저히 납득이 되지
않습니다.
영무 아파트 앞 인도는 영무 아파트의 땅이 아니고 시민들이 다니는 인도입니다.
버스 정류장 또한 설치되어 있고요. 버스를 이용하는 시민, 유모차, 휠체어, 도보로 이용하는 시민들이 왜 평탄한 인도가 아닌 오르막으로 되어 있는 높고 위험한 테크로 이동 해야 합니까?
다시 한 번 말씀 드리지만 영무 아파트 앞 인도는 시민들이 몇 십년 동안 아무런 불편 없이 이용하는 인도였습니다.
많은 시민들이 이용하는 인도에 설치되어 있는 불법 구조물(테크) 당장 철거하여 시민들이 불편 없이 다닐 수 있도록 행정 조치 부탁 드립니다",도시안전국 건축주택과
재활용을 활용할 수 있는 슈퍼빈 설치 요청합니다,"안녕하세요
평소 주민들 불편함이 없도록 구민활동에 힘써주시는 기관 관계자 여러분께 감사함을 표하며
요즘 주변에 넘쳐 나는 1회용 쓰레기로 인해 많은 고민이 있는 이때
타구에서는 슈퍼빈설치로 인해 1회용 페트병과 캔을 수거 자원 재활용에 앞서가고 있는데...
서구는 한곳도 설치 된곳이 없어 아쉽습니다
서구청에 설치하여 구민들에게 자원 재활용에 참여할 수 있도록 앞선 대구시 서구가 되었으면 합니다

-이름은 00으로 변경해주세요(수정이 안되는군요...)",복지생활국 환경청소과
